kepid,kepoi_name,pp_host_rel_prob,pp_host_prob_score,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_starid,pp_2hi_rel_prob,pp_unk_rel_prob
8490993,K00911.02,1.00000e+00,0.820,KIC 8490993,1.00000e+00,UKIRT 44117910397084,4.90000e-13,5.8970000e-05
8555967,K07894.01,1.00000e+00,0.820,KIC 8555967,1.00000e+00,,,1.2170000e-04
8570210,K05545.01,3.80000e-01,0.820,hiresKIC 22000561,3.80000e-01,KIC 8570210,3.80000e-01,1.0250000e-05
8571421,K05546.01,1.00000e+00,0.820,KIC 8571421,1.00000e+00,KIC 8571411,7.50000e-88,1.8610000e-03
8626325,K04775.01,1.00000e+00,0.820,KIC 8626325,1.00000e+00,UKIRT 44117909660145,1.50000e-03,1.1390000e-04
8747009,K04880.01,3.10000e-01,0.820,KIC 8747009,3.10000e-01,,,6.8760000e-01
8815031,K08171.01,1.00000e+00,0.820,KIC 8815031,1.00000e+00,,,6.9710000e-04
8832676,K08173.01,1.30000e-01,0.820,KIC 8832670,8.50000e-01,KIC 8832676,1.30000e-01,1.3580000e-04
8841297,K05577.01,1.00000e+00,0.820,KIC 8841297,1.00000e+00,,,1.9330000e-04
8939211,K05586.01,1.00000e+00,0.820,KIC 8939211,1.00000e+00,UKIRT 44117909567445,2.50000e-03,6.0530000e-05
8946267,K05588.01,1.00000e+00,0.820,KIC 8946267,1.00000e+00,,,7.0170000e-05
8959240,K05591.01,1.00000e+00,0.820,KIC 8959240,1.00000e+00,UKIRT 44117909871761,2.70000e-06,1.6050000e-05
9005321,K04848.01,1.00000e+00,0.820,KIC 9005321,1.00000e+00,,,1.6900000e-04
9178894,K05635.01,1.00000e+00,0.820,KIC 9178894,1.00000e+00,UKIRT 44117908402639,1.10000e-04,1.3960000e-04
9210820,K07930.01,1.00000e+00,0.820,KIC 9210820,1.00000e+00,,,7.0420000e-04
9220614,K05643.01,8.80000e-01,0.820,KIC 9220614,8.80000e-01,KIC 9220610,1.20000e-01,1.1230000e-03
9307105,K03304.01,1.40000e-103,0.820,KIC 9307098,1.00000e+00,KIC 9307105,1.40000e-103,3.2660000e-08
9362842,K05659.01,1.00000e+00,0.820,KIC 9362842,1.00000e+00,UKIRT 44117909035515,5.10000e-05,2.2800000e-05
9481235,K05685.01,1.00000e+00,0.820,KIC 9481235,1.00000e+00,UKIRT 44117908677995,2.60000e-41,4.3430000e-05
9536836,K08285.01,8.10000e-01,0.820,KIC 9536836,8.10000e-01,UKIRT 44117908500614,1.10000e-01,2.3410000e-03
9657636,K07219.01,3.10000e-01,0.820,UKIRT 44117907835220,6.90000e-01,KIC 9657636,3.10000e-01,8.3680000e-06
9659022,K05702.01,6.30000e-01,0.820,KIC 9659022,6.30000e-01,KIC 9659020,3.60000e-01,2.7640000e-03
9663113,K00179.02,9.90000e-01,0.820,KIC 9663113,9.90000e-01,KIC 9663127,7.70000e-03,6.2080000e-05
9821428,K07235.01,4.80000e-01,0.820,hiresKIC 22000689,5.20000e-01,KIC 9821428,4.80000e-01,9.8400000e-05
9845931,K05721.01,9.90000e-04,0.820,KIC 9845931,9.90000e-04,,,9.9900000e-01
9881662,K00327.02,1.00000e+00,0.820,KIC 9881662,1.00000e+00,KIC 9881660,2.50000e-11,5.8900000e-08
9896558,K01718.02,1.00000e+00,0.820,KIC 9896558,1.00000e+00,,,3.7780000e-05
9974142,K06214.01,1.00000e+00,0.820,KIC 9974142,1.00000e+00,UKIRT 44117908051366,3.90000e-05,1.7370000e-05
9992325,K02205.01,1.00000e+00,0.820,KIC 9992325,1.00000e+00,,,1.8100000e-05
10007916,K05755.01,1.00000e+00,0.820,KIC 10007916,1.00000e+00,,,6.1930000e-05
10130646,K05765.01,1.00000e+00,0.820,KIC 10130646,1.00000e+00,UKIRT 44117907148614,1.50000e-04,3.6820000e-06
10187563,K04843.01,1.00000e+00,0.820,KIC 10187563,1.00000e+00,,,1.4870000e-03
10292000,K05783.01,9.90000e-01,0.820,KIC 10292000,9.90000e-01,UKIRT 44117906808228,5.30000e-03,5.3070000e-04
10387742,K02583.02,9.90000e-01,0.820,KIC 10387742,9.90000e-01,KIC 10387747,1.50000e-25,8.7500000e-03
10407482,K04255.01,1.00000e+00,0.820,KIC 10407482,1.00000e+00,KIC 10407491,9.30000e-24,6.4500000e-05
10419108,K05793.01,9.50000e-01,0.820,KIC 10419108,9.50000e-01,UKIRT 44117906849369,4.90000e-02,2.3010000e-03
10470779,K05796.01,9.90000e-01,0.820,KIC 10470779,9.90000e-01,KIC 10470778,4.50000e-03,2.8280000e-05
10552263,K05806.01,1.00000e+00,0.820,KIC 10552263,1.00000e+00,KIC 10552251,5.60000e-18,2.1870000e-04
10680424,K07361.01,9.90000e-01,0.820,KIC 10680424,9.90000e-01,,,7.2090000e-03
10881457,K03484.01,9.60000e-01,0.820,KIC 10881457,9.60000e-01,KIC 10881450,2.50000e-02,2.2110000e-04
11145391,K05871.01,9.90000e-01,0.820,KIC 11145391,9.90000e-01,UKIRT 44117906014816,1.40000e-02,1.9050000e-04
11182213,K05876.01,1.00000e+00,0.820,KIC 11182213,1.00000e+00,,,1.3730000e-04
11341266,K05886.01,1.00000e+00,0.820,KIC 11341266,1.00000e+00,KIC 11341271,1.90000e-14,2.7510000e-04
11356602,K07439.01,1.00000e+00,0.820,KIC 11356602,1.00000e+00,KIC 11356597,8.00000e-12,1.8050000e-04
